plotno,rep,pd,variety,nrate,x_100_grain_wt
1,1,1,v2,n2,4.3
3,1,1,v2,n1,4.47
20,1,1,v2,n3,3.34
40,2,1,v2,n1,3.79
41,2,1,v2,n3,4.59
49,2,1,v2,n2,3.94
62,3,1,v2,n2,2.49
66,3,1,v2,n3,3.86
81,3,1,v2,n1,3.07
4,1,2,v2,n2,4.39
5,1,2,v2,n3,3.78
6,1,2,v2,n1,3.75
29,2,2,v2,n1,2.97
46,2,2,v2,n2,3.46
48,2,2,v2,n3,3.78
70,3,2,v2,n1,4.32
72,3,2,v2,n2,2.01
75,3,2,v2,n3,4.63
8,1,3,v2,n3,2.43
12,1,3,v2,n1,3.94
25,1,3,v2,n2,3.94
34,2,3,v2,n3,3.57
35,2,3,v2,n2,4.35
53,2,3,v2,n1,2.06
60,3,3,v2,n1,3.5
69,3,3,v2,n2,3.4
77,3,3,v2,n3,3.23
2,1,1,v3,n2,4.84
17,1,1,v3,n1,3.44
21,1,1,v3,n3,5.18
32,2,1,v3,n3,5.2
33,2,1,v3,n1,4.57
42,2,1,v3,n2,5.4
61,3,1,v3,n3,4.62
63,3,1,v3,n1,4.33
79,3,1,v3,n2,3.45
13,1,2,v3,n2,4.27
22,1,2,v3,n1,3.81
23,1,2,v3,n3,4.74
28,2,2,v3,n3,3.55
45,2,2,v3,n1,3.46
47,2,2,v3,n2,2.53
57,3,2,v3,n3,4.39
73,3,2,v3,n2,2.79
74,3,2,v3,n1,3.45
7,1,3,v3,n2,3.8
10,1,3,v3,n1,3.94
26,1,3,v3,n3,2.53
38,2,3,v3,n3,3.42
52,2,3,v3,n1,2.82
54,2,3,v3,n2,3.37
58,3,3,v3,n3,2.98
68,3,3,v3,n2,3.59
78,3,3,v3,n1,3.38
16,1,1,v1,n2,4.3
18,1,1,v1,n1,2.58
19,1,1,v1,n3,2.87
31,2,1,v1,n2,2.81
50,2,1,v1,n1,4.04
51,2,1,v1,n3,4.03
64,3,1,v1,n1,2.37
65,3,1,v1,n2,2.5
80,3,1,v1,n3,2.56
14,1,2,v1,n2,3.68
15,1,2,v1,n1,3.19
24,1,2,v1,n3,2.95
30,2,2,v1,n3,3.74
43,2,2,v1,n2,2.84
44,2,2,v1,n1,2.21
55,3,2,v1,n3,2.52
56,3,2,v1,n1,3.96
71,3,2,v1,n2,2.82
9,1,3,v1,n2,2.77
11,1,3,v1,n3,3.6
27,1,3,v1,n1,3.01
36,2,3,v1,n1,3.34
37,2,3,v1,n3,3.08
39,2,3,v1,n2,3.59
59,3,3,v1,n1,3.18
67,3,3,v1,n2,3.18
76,3,3,v1,n3,3.34
