X,Y,Co,Ni,Pb,Rock
2.386,3.077,9.32,21.32,77.36,S
2.544,1.972,10,29.72,77.88,K
2.807,3.347,10.6,21.4,30.8,S
4.308,1.933,11.92,29.72,56.4,K
4.383,1.081,16.32,26.2,66.4,Q
3.244,4.519,3.5,22.04,72.4,Q
3.925,3.785,15.08,21.76,60,Q
2.116,3.498,4.2,9.92,141,A
1.842,0.989,4.52,11.32,52.4,A
1.709,1.843,12.08,16.88,41.6,S
3.8,4.578,9.84,21.64,46,A
2.699,1.199,7.56,15.72,56.4,A
3.033,4.384,2.36,7.08,38.36,Q
4.232,1.588,8.84,17.4,52.8,K
4.75,1.369,11.96,23.76,32.92,K
2.341,4.135,5.32,10.8,42,A
2.827,3.667,4.68,6.68,21.48,Q
3.043,4.692,3.53,11.32,29.92,A
1.687,1.174,3.64,6.64,46.8,A
2.235,2.386,12.44,25.08,88.68,Q
3.122,1.695,12.92,34.72,72.88,K
2.219,2.774,13.04,31.52,56.52,K
3.185,2.092,11.2,35,43.68,K
3.514,5.119,9.28,21.76,33.36,A
4.459,2.624,6.84,15.84,34.64,K
4.339,1.473,10.8,18.6,64.8,Q
4.92,1.417,8.56,21.96,39.52,K
3.648,3.78,14.16,24.44,63.2,K
2.916,4.916,6.28,13.88,37.16,A
3.127,1.691,13.4,35.12,93.92,K
3.441,4.719,9.28,24.28,55.6,Q
3.336,4.613,5.92,23.28,49.2,Q
3.649,2.674,7.44,17.72,58.4,K
3.875,4.924,11.48,26.72,35.6,Q
2.612,4.114,4.88,7.44,58.4,A
2.34,4.141,5.48,10.6,36.88,A
3.811,1.318,12.6,26.6,39.8,K
3.661,3.788,14.64,20.8,69.6,K
4.34,3.736,11.24,21.96,46,S
2.972,0.988,9.16,28.88,229.56,S
2.286,3.068,9.68,12.8,56.6,S
1.813,2.116,11.32,20.56,48.8,S
3.379,4.308,8.52,24.8,36.44,Q
1.965,2.807,12.6,24.16,89.68,S
